App Name,Size (bytes),App id,Currency,Price,Rating (All),Rating (Current),Avg Rating (All),Avy Rating (Current),Version,Rating(Content),Prefrence,Supp Devices,Screenshot,Supp Lang,Vpp Lic
myAT&T,68491264,309172177,USD,0,108507,628,3,3,5.3,4+,Utilities,37,5,2,1
SFR TV,122153984,309187846,USD,0,46,0,3,0,7.3.0,4+,Entertainment,37,5,1,1
"Shutterfly: Prints, Photo Books, Cards Made Easy",122315776,309465525,USD,0,51427,874,4,5,7.7.0,4+,Photo & Video,37,5,1,1
StickWars,17010688,309527804,USD,0.99,53821,165,3.5,4,1.8.9,12+,Games,43,1,1,0
Indeed Job Search,3691520,309735670,USD,0,38681,563,4,4.5,4.3,4+,Business,37,3,28,1
World Cup Table Tennis™,31387648,310303959,USD,0.99,17776,6,4,5,4.6.1,4+,Games,37,0,11,1
WhatsApp Messenger,135044096,310633997,USD,0,287589,73088,4.5,4.5,2.17.22,4+,Social Networking,12,0,35,1
"iStudiez Pro – Homework, Schedule, Grades",55815168,310636441,USD,2.99,7308,15,4,4.5,1.9.1,4+,Productivity,37,5,30,1
Zillow Real Estate - Homes for Sale & for Rent,132632576,310738695,USD,0,342969,88478,4.5,4.5,10.4.5,4+,Lifestyle,37,5,1,1
2XL Supercross,270729216,310951782,USD,4.99,6093,3,4,5,1.2.1,4+,Games,37,5,7,1
Pocket Tanks Deluxe,39827456,311466554,USD,4.99,5452,39,4.5,4.5,2.3.1,9+,Games,38,5,1,1
Wells Fargo Mobile,57328640,311548709,USD,0,43064,216,3,2.5,3.55,4+,Finance,37,0,2,1
radio.de - Der Radioplayer,40717312,311762416,USD,0,64,9,4.5,5,4.0.5,4+,Music,37,5,14,1
AutoScout24 - mobile used & new car market,141136896,311785642,USD,0,220,2,4.5,5,9.1.10,4+,Productivity,37,5,13,1
Sky Burger - Build & Match Food Free,146228224,311972587,USD,0,114096,2157,4.5,4,3.0.3,4+,Games,37,5,3,1
MindNode – Delightful Mind Mapping,52294656,312220102,USD,9.99,1296,4,4,5,4.5.3,4+,Productivity,37,4,13,1
Packing Pro,16332800,312266675,USD,2.99,1293,31,4,5,12.2,4+,Travel,37,5,11,1
USAA Mobile,164382720,312325565,USD,0,19946,13,4,2.5,7.32.3,4+,Finance,37,5,1,1
The Moron Test,45712384,312343159,USD,0,88613,392,4,4.5,6.3.1,4+,Entertainment,37,5,1,1
Sunday Lawn,16086016,313199385,USD,0.99,107727,55,3.5,4.5,1.41.1,4+,Games,37,3,1,1
Peggle Classic,223805440,314303518,USD,0.99,21416,974,4.5,4.5,1.7.2,4+,Games,43,0,5,1
SmartGo Player,22159360,314506629,USD,2.99,533,27,4,4,2.5.1,4+,Games,37,3,9,1
I Am T-Pain 2.0,20542280,314652382,USD,2.99,32650,754,3.5,3.5,2.0.4,12+,Music,43,1,1,1
TextNow - Unlimited Text + Calls,130637824,314716233,USD,0,164963,69,3.5,4,8.5.1,4+,Social Networking,37,5,3,1
Boating Weather,8900608,314819528,USD,1.99,141,15,3,3,4.5,4+,Weather,40,0,1,1
Best Buy,180500480,314855255,USD,0,80424,46,4,4.5,10.11.0,4+,Shopping,37,5,2,1
I Dig It,19853312,314864297,USD,0.99,17190,180,4,4.5,1.12,4+,Games,40,0,1,1
Unblock Me,42926080,315021242,USD,0.99,7973,127,4,5,1.5.95,4+,Games,40,5,15,1
Sonic The Hedgehog,36692992,316025912,USD,2.99,19621,1191,4,4.5,2.1.2,4+,Games,37,5,1,1
10 Pin Shuffle Pro Bowling,36647936,316227296,USD,3.99,7315,138,4,4.5,2.01,4+,Games,37,5,6,1
Sky News,91697152,316391924,USD,0,118,0,3,0,4.6,12+,News,37,5,1,1
"ESPN: Get scores, news, alerts & watch live sports",51538944,317469184,USD,0,290996,150,3.5,3.5,5.7.1,4+,Sports,37,5,2,1
LiveATC Air Radio,8302592,317809458,USD,3.99,2785,90,4,4,1.9.0,4+,Travel,37,5,26,1
The Sims 3,430128128,317904170,USD,6.99,54408,65,3.5,2,1.4.10,12+,Games,37,5,8,1
"Chess Pro with Coach - Learn,Play & Online Friends",69960704,318304532,USD,9.99,8138,107,4,4.5,2.89,4+,Games,37,5,13,1
Guess My Age  Math Magic,767126,318592730,USD,0,123190,68841,3,3,1.1,4+,Education,47,0,1,1
Crush the Castle,12996628,318639200,USD,0.99,23810,582,3.5,4,1.5,12+,Games,45,0,1,1
2016 U.S. Open Golf Championship,139545600,319204550,USD,0,54192,32,4,2,8.0.263,4+,Sports,37,0,1,1
"The Championships, Wimbledon 2016 - Tennis Grand Slam",130394112,319284643,USD,0,20953,481,4,4,8.1,4+,Sports,37,5,1,1
TuneIn Radio Pro - MLB Audiobooks Podcasts Music,101925888,319295332,USD,9.99,71609,99,4.5,4,11.9,12+,Music,37,4,14,1
NBC News,52951040,319740707,USD,0,32881,7,3.5,2,5.11.0,12+,News,37,5,1,1
"Grindr - Gay and same sex guys chat, meet and date",80409600,319881193,USD,0,23201,14,2.5,2,3.9.1,17+,Social Networking,37,5,5,1
Whole Foods Market,137312256,320029256,USD,0,17906,4,3,3,8.3.17,4+,Shopping,37,5,1,1
NAVIGON Europe,144412672,320279293,USD,74.99,927,3,3.5,2.5,2.17,4+,Navigation,37,2,21,1
Virtual Families,27746273,320300350,USD,1.99,18920,3014,3.5,4.5,1.1.2,9+,Games,47,0,1,1
Sparkasse+,119648256,320596872,USD,0.99,30,0,3,0,3.1.3,4+,Finance,37,0,3,1
Sparkasse - Your mobile branch,119574528,320599923,USD,0,77,1,3,4,3.1.3,4+,Finance,37,0,3,1
Sleep Cycle alarm clock,79315968,320606217,USD,0,104539,11,4.5,4.5,5.4.1,4+,Health & Fitness,37,5,13,1
FACEinHOLE®,12818432,320636131,USD,0.99,4016,1,4,5,5.7,12+,Photo & Video,37,5,1,1
Harvest - Select the Best Produce,18165760,320650307,USD,1.99,299,28,4,4.5,3.1,4+,Food & Drink,38,0,1,1
WORMS,253834240,321369231,USD,1.99,5758,9,4,3,2.6,12+,Games,40,0,1,1
Pixel Starships™ : 8Bit MMORPG,69083136,321756558,USD,0,5565,140,4.5,4.5,0.39,9+,Games,37,5,17,1
Traffic Rush,8573952,322423174,USD,0.99,213092,51,3.5,4.5,1.45.1,9+,Games,37,3,1,1
MyRadar NOAA Weather Radar Forecast,127284224,322439990,USD,0,150158,3392,4.5,5,5.1.4,4+,Weather,37,2,8,1
Resident Evil 4: PLATINUM,81374398,322523436,USD,4.99,6046,446,4,4,1.04.10,12+,Games,47,0,1,1
"Waze - GPS Navigation, Maps & Real-time Traffic",94139392,323229106,USD,0,345046,3040,4.5,4.5,4.24,4+,Navigation,37,5,36,1
Cartoon Wars,13216994,323242790,USD,0.99,35930,262,3.5,4,114,12+,Games,43,0,1,1
Moto X Mayhem,21010210,323438913,USD,0.99,22557,526,4,4,1.8.7,4+,Games,47,0,1,1
Fantasy Football Manager - FFM for FPL,35998720,324266640,USD,0.99,292,1,3,5,9.3,17+,Sports,37,1,1,1
Spotify Music,132510720,324684580,USD,0,878563,8253,4.5,4.5,8.4.3,12+,Music,37,5,18,1
McDo France,37001216,324887734,USD,0,22,0,3.5,0,4.0.16,4+,Food & Drink,37,0,30,1
PGA Championship 2016 – Baltusrol Golf Club,64147456,325462190,USD,0,10472,58,3.5,2,8.1,17+,Sports,37,5,1,0
BFMTV : l'info en continu,100779008,325658560,USD,0,115,70,4,5,5.0.3,17+,News,37,4,1,0
"MyRadar Pro NOAA Weather Radar, Forecasts & Storms",123718656,325683306,USD,1.99,13915,205,4.5,5,5.1.4,4+,Weather,37,2,8,1
Spider:  The Secret of Bryce Manor,126312448,325954996,USD,1.99,6780,68,4,4.5,1.5,9+,Games,38,0,5,1
My Measures PRO,79882240,325962257,USD,7.99,1701,35,4,4.5,6.06,4+,Productivity,37,5,21,1
Food Additives Checker (E Numbers),6418432,326082487,USD,1.99,6,0,3.5,0,4.1.2,4+,Health & Fitness,37,0,8,1
SFR Mon Compte,74093568,326161564,USD,0,19,0,3,0,6.4.0,4+,Utilities,37,5,1,1
Baby Connect (Activity Log),12937216,326574411,USD,4.99,3483,79,4.5,5,5.4.3,4+,Medical,37,0,14,1
Epson iPrint,53388288,326876192,USD,0,2838,26,3,2.5,6.3.1,4+,Photo & Video,37,5,12,1
Mad Libs,118498304,326885152,USD,0,117889,725,3,4.5,3.3.3,4+,Entertainment,38,1,1,1
BATTLE BEARS: Zombies!,103197675,326979430,USD,0.99,50710,309,3.5,4,1.6.7,9+,Games,45,0,1,1
Hurricane Tracker,24574976,327193945,USD,2.99,3960,0,4.5,0,5,4+,Weather,37,0,1,1
NFL Sunday Ticket,96093184,327243363,USD,0,24258,305,3,2.5,2.6.042,4+,Entertainment,37,0,1,1
2016 US Open Tennis Championships,77700096,327455869,USD,0,37522,39,4,3,8.0.353,4+,Sports,37,4,1,1
Dropbox,180804608,327630330,USD,0,49578,16,3.5,3,50.2,4+,Productivity,37,5,20,1
Wa Kingyo - Goldfish Pond,56397824,328011357,USD,0.99,626,44,4,5,2.0.3,4+,Entertainment,38,5,2,1
Monkey Preschool Lunchbox,229272576,328205875,USD,1.99,9286,49,4,3.5,4.02,4+,Games,38,5,1,1
Yahoo Fantasy Sports,131000320,328415391,USD,0,190670,19,3.5,2.5,9.1.0,17+,Sports,37,3,45,1
Gaia GPS Classic,53097472,329127297,USD,19.99,2429,8,4.5,3.5,10.9.13,4+,Navigation,37,5,16,1
iLoan Calc (Loan calculator),3375104,329174056,USD,3.99,0,0,0,0,5.1.0,4+,Finance,37,5,3,1
Geocaching®,108166144,329541503,USD,0,12811,134,3.5,1.5,5.3,4+,Navigation,37,0,22,1
Camera+,89187328,329670577,USD,1.99,32338,261,4,4.5,9.1,4+,Photo & Video,37,0,10,1
Alter Ego,13647872,329703516,USD,4.99,262,43,4,4,1.3.0,12+,Games,40,5,1,1
Parking Mania,123544576,329887910,USD,0.99,9657,47,4.5,4.5,2.5.0,4+,Games,38,0,12,1
Sudoku⁺,1608704,329981776,USD,2.99,18332,1007,4.5,5,3.4,4+,Games,37,5,2,1
Period Tracker Lite,50169856,330376830,USD,0,53620,2872,4,5,9.5.1,12+,Health & Fitness,38,0,15,1
Camera Plus: For Macro Photos & Remote Photography,101181440,330803072,USD,0.99,38533,36,2.5,3.5,4.5.4,4+,Photo & Video,37,4,11,1
The perfect Egg timer,15329280,331004675,USD,0.99,40,0,3.5,0,1.8.9,4+,Food & Drink,37,4,7,1
Letter Quiz - alphabet tracing for kids,31845376,331177703,USD,1.99,472,0,4,0,2.4,4+,Games,37,5,1,1
Starbucks,135032832,331177714,USD,0,303856,7027,4.5,4.5,4.3.5,4+,Food & Drink,37,0,2,1
央视影音-海量央视内容高清直播,54648832,331259725,USD,0,2070,0,2.5,0,6.2.0,4+,Sports,37,0,1,1
Bloons TD,8432232,331271904,USD,2.99,7941,76,4,3.5,1.2.1,4+,Games,47,0,1,1
Weight Watchers,230720512,331308914,USD,0,136833,64,3.5,4.5,5.9.0,12+,Health & Fitness,37,5,6,1
"CNN: Breaking US & World News, Live Video",80211968,331786748,USD,0,112886,298,3.5,1.5,5.3,12+,News,37,1,1,1
Gilt,148201472,331804452,USD,0,26353,3,3.5,2.5,5.1.3,4+,Shopping,37,5,2,1
TRUTH or DARE!!! - FREE,20795392,332568551,USD,0,171055,31,3,3.5,5,12+,Entertainment,38,1,1,1
Canabalt,27934720,333180061,USD,2.99,4540,140,4,4.5,2.31,9+,Games,43,5,15,1
Alipay - Makes Life Easy,208309248,333206289,USD,0,1926,2,3,3,10.0.15,4+,Lifestyle,38,5,3,1
Scanner911 Pro,33812480,333246187,USD,3.99,14345,100,4,2.5,4,12+,News,37,0,1,1
Daily Teachings,20298752,333263435,USD,4.99,1340,288,4.5,5,1.7.3,4+,Lifestyle,38,0,1,1
Scanner Pro - PDF document scanner app with OCR,101346304,333710667,USD,3.99,31912,154,4.5,5,7.1.3,4+,Business,37,5,9,1
Twitter,210569216,333903271,USD,0,354058,452,3.5,4,6.79.1,17+,News,37,2,33,1
"Trainline UK: Live Train Times, Tickets & Planner",110198784,334235181,USD,0,248,0,4,0,22,4+,Travel,37,4,1,1
CBS News - Watch Free Live Breaking News,78047232,334256223,USD,0,11691,44,3.5,4.5,3.5.1,12+,News,37,5,1,1
iOvilus,9946112,334264405,USD,1.99,381,6,3,2,iOV 2.1.3,12+,Entertainment,38,0,1,1
The Impossible Quiz!,44652544,334503000,USD,0,18884,451,4,4.5,1.62,9+,Entertainment,37,0,1,1
WolframAlpha,30369792,334989259,USD,2.99,7410,82,4,4.5,1.7.3,9+,Reference,37,5,1,1
Catan,376171520,335029050,USD,1.99,15175,308,4,4,4.6.2,4+,Games,38,0,6,1
ScanBizCards Business Card Reader,96815104,335047649,USD,0.99,3166,34,4,4.5,6.08,4+,Business,37,5,5,1
"Walgreens – Pharmacy, Photo, Coupons and Shopping",169138176,335364882,USD,0,88885,333,4.5,4,6.5,12+,Shopping,37,5,1,1
King of Dragon Pass,364490752,335545504,USD,9.99,882,85,5,5,2.3.2,12+,Games,43,5,1,1
Stylebook,44135424,335709058,USD,3.99,1729,599,4,4.5,7,17+,Lifestyle,37,5,3,1
NBA,112074752,335744614,USD,0,43682,19,3.5,2.5,2013.4.3,4+,Sports,37,5,1,1
Blower,98942976,335862325,USD,0.99,861,70,2,2.5,4.2,4+,Entertainment,40,4,1,1
My Cycles Period and Ovulation Tracker,77686784,335875911,USD,0,7469,68,3.5,5,5.10.3,12+,Health & Fitness,37,0,2,1
"Kmart – Download Now, Shop Online & Pick Up Today!",94496768,335989871,USD,0,4186,6,3.5,4.5,17,4+,Shopping,37,0,1,1
